task,split,model_name,model_version,tenant_id,horizon_hours,quantile,metric_name,metric_value,sample_count,target_start,target_end,notes
load,test,model,stage4_v1,Semiconductor_B,1,,empirical_coverage,0.921461897356143,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,nominal_coverage,0.8,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,coverage_error,0.12146189735614299,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,average_interval_width,1672.3708228447151,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,normalized_interval_width,1.0564461076358016,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,below_interval_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,above_interval_frequency,0.07853810264385692,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,raw_crossing_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,corrected_crossing_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,negative_raw_prediction_count,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,nighttime_correction_count,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,MAE,28.434455618148604,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,RMSE,39.23623692717122,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,WAPE,0.09982525824043206,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,normalized_MAE_by_mean_target,0.09982525824043208,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,bias,19.9698264299094,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,maximum_absolute_error,155.99906526478924,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,pinball_p10,28.484229461909717,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,pinball_p50,14.217227809074302,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,pinball_p90,78.19447979518617,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,mean_pinball_loss,40.2986456887234,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,empirical_coverage,1.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,nominal_coverage,0.8,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,coverage_error,0.19999999999999996,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,average_interval_width,1066.7870925709592,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,normalized_interval_width,3.745185011929183,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,below_interval_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,above_interval_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Textile_C,1,,raw_crossing_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
